테스트번호,유저역할,유저아이디,테스트카테고리,메세지,응답결과_스테이터스코드,main버블,sub버블,cta버블,응답시간(ms),성공여부,검증오류,실행시간,응답결과_바디
2-3,User_S,Hyunse0001,general,変更可能な時間はいつですか？,200,3.14では、授業の時間変更について柔軟に対応しており、基本的な時間割はありますが生徒さんの部活動などの予定に合わせて相談可能です。また、前日までのご連絡であれば振替授業も可能となっています。,,教室によって開校時間が異なりますので、具体的な時間についてはご希望の教室をお伺いしてからご案内させていただきます。ご希望の教室がございましたら、お気軽にお申し付けください。,4304,성공,,2025-07-27T13:49:16.997Z,"[{""type"":""main"",""text"":""3.14では、授業の時間変更について柔軟に対応しており、基本的な時間割はありますが生徒さんの部活動などの予定に合わせて相談可能です。また、前日までのご連絡であれば振替授業も可能となっています。"",""attachment"":null},{""type"":""cta"",""text"":""教室によって開校時間が異なりますので、具体的な時間についてはご希望の教室をお伺いしてからご案内させていただきます。ご希望の教室がございましたら、お気軽にお申し付けください。"",""attachment"":null}]"
2-4,User_S,Hyunse0001,general,水曜日の午前9時に変更したいです。,200,申し訳ございませんが、授業時間の変更については直接教室にお問い合わせいただく必要がございます。,3.14の教室へお電話（0120-876-314）いただくか、次回登校時に室長または担当講師にご相談ください。,ご不便をおかけして申し訳ございませんが、よろしくお願いいたします。,2791,성공,,2025-07-27T13:49:20.790Z,"[{""type"":""main"",""text"":""申し訳ございませんが、授業時間の変更については直接教室にお問い合わせいただく必要がございます。"",""attachment"":null},{""type"":""sub"",""text"":""3.14の教室へお電話（0120-876-314）いただくか、次回登校時に室長または担当講師にご相談ください。"",""attachment"":null},{""type"":""cta"",""text"":""ご不便をおかけして申し訳ございませんが、よろしくお願いいたします。"",""attachment"":null}]"
3,User_S,Hyunse0001,general,体調が悪くて病院に行かないといけないので、遅れそうです,200,体調不良による遅刻のご連絡、承知いたしました。ご自身の健康を最優先にしていただくことが大切ですので、まずは病院での診察をしっかりと受けていただければと思います。,,ご回復後、スクールにお越しいただく際は、受付スタッフにお声がけください。体調に応じて、その日のカリキュラムを調整させていただきます。お大事になさってください。,3563,성공,,2025-07-27T13:49:25.358Z,"[{""type"":""main"",""text"":""体調不良による遅刻のご連絡、承知いたしました。ご自身の健康を最優先にしていただくことが大切ですので、まずは病院での診察をしっかりと受けていただければと思います。"",""attachment"":null},{""type"":""cta"",""text"":""ご回復後、スクールにお越しいただく際は、受付スタッフにお声がけください。体調に応じて、その日のカリキュラムを調整させていただきます。お大事になさってください。"",""attachment"":null}]"
4-1,User_S,Hyunse0001,general,今日は体調が良くないので、お休みしなければならないと思います,200,体調不良のご連絡、承知いたしました。,お体の具合が悪いとのこと、ご心配をおかけしますが、まずはゆっくり休養を取っていただくことが大切です。早めの回復を心よりお祈りしております。,ご回復されましたら、次回のご来校をお待ちしております。必要に応じて補講などのご相談も承りますので、ご安心ください。,3831,성공,,2025-07-27T13:49:30.193Z,"[{""type"":""main"",""text"":""体調不良のご連絡、承知いたしました。"",""attachment"":null},{""type"":""sub"",""text"":""お体の具合が悪いとのこと、ご心配をおかけしますが、まずはゆっくり休養を取っていただくことが大切です。早めの回復を心よりお祈りしております。"",""attachment"":null},{""type"":""cta"",""text"":""ご回復されましたら、次回のご来校をお待ちしております。必要に応じて補講などのご相談も承りますので、ご安心ください。"",""attachment"":null}]"
4-2,User_S,Hyunse0001,general,今日は体調が良くないので、お休みしなければならないと思います,200,体調不良のご連絡、承知いたしました。,お体の具合が悪いとのこと、ご心配をおかけしますが、まずはゆっくり休養を取っていただくことが大切です。回復に専念してください。,また、体調が回復されましたら、授業の振替についてもご相談させていただきますので、ご安心ください。お大事になさってください。,3412,성공,,2025-07-27T13:49:34.607Z,"[{""type"":""main"",""text"":""体調不良のご連絡、承知いたしました。"",""attachment"":null},{""type"":""sub"",""text"":""お体の具合が悪いとのこと、ご心配をおかけしますが、まずはゆっくり休養を取っていただくことが大切です。回復に専念してください。"",""attachment"":null},{""type"":""cta"",""text"":""また、体調が回復されましたら、授業の振替についてもご相談させていただきますので、ご安心ください。お大事になさってください。"",""attachment"":null}]"
5,User_S,Hyunse0001,general,今日は家に用事があって、お休みしなければならないと思います,200,欠席のご連絡、承知いたしました。生徒さまの安全と学習の継続性を考慮し、以下のご案内をさせていただきます。,🗓️ 欠席される場合は、お通いの校舎へ直接ご連絡いただけますと幸いです。校舎の連絡先は「校舎を探す」からご確認いただけます。,ご用事が済みましたら、次回のご来校を心よりお待ちしております。補講などのご相談も承りますので、お気軽に校舎スタッフまでお申し付けください。,4163,성공,,2025-07-27T13:49:39.772Z,"[{""type"":""main"",""text"":""欠席のご連絡、承知いたしました。生徒さまの安全と学習の継続性を考慮し、以下のご案内をさせていただきます。"",""attachment"":null},{""type"":""sub"",""text"":""🗓️ 欠席される場合は、お通いの校舎へ直接ご連絡いただけますと幸いです。校舎の連絡先は「校舎を探す」からご確認いただけます。"",""attachment"":null},{""type"":""cta"",""text"":""ご用事が済みましたら、次回のご来校を心よりお待ちしております。補講などのご相談も承りますので、お気軽に校舎スタッフまでお申し付けください。"",""attachment"":null}]"
6,User_S,Hyunse0001,general,もしかして、オンラインで授業を受けることはできますか？,200,申し訳ありませんが、3.14の授業形態に関するオンライン授業の情報は確認できません。ただし、オンライン自習システムは利用可能であることは分かっています。,自習に関しては、教室の自習スペースを無料で利用できる他、オンライン自習システムも活用できます。,詳しい授業形態やオンラインでの学習についてお知りになりたい場合は、お近くの3.14教室に直接お問い合わせいただくことをお勧めします。,7017,성공,,2025-07-27T13:49:47.792Z,"[{""type"":""main"",""text"":""申し訳ありませんが、3.14の授業形態に関するオンライン授業の情報は確認できません。ただし、オンライン自習システムは利用可能であることは分かっています。"",""attachment"":null},{""type"":""sub"",""text"":""自習に関しては、教室の自習スペースを無料で利用できる他、オンライン自習システムも活用できます。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい授業形態やオンラインでの学習についてお知りになりたい場合は、お近くの3.14教室に直接お問い合わせいただくことをお勧めします。"",""attachment"":null}]"
7,User_S,Hyunse0001,general,塾を辞めたいのですが、別途手続きが必要ですか？,200,3.14では、退塾手続きについて所定の手続きが必要となります。退塾をご希望の場合は、原則として退塾希望月の前月20日までに、通塾中の教室へ退塾届の提出をお願いしております。,具体的な手続き方法や必要書類については、現在通塾されている教室の担当者にご相談ください。教室の連絡先や場所が分からない場合は、お通いの教室名をお教えいただければ、詳しい情報をご案内させていただきます。,退塾に関するご不明な点やご相談は、各教室のスタッフが丁寧にご対応させていただきますので、お気軽にお申し付けください。,5465,성공,,2025-07-27T13:49:54.258Z,"[{""type"":""main"",""text"":""3.14では、退塾手続きについて所定の手続きが必要となります。退塾をご希望の場合は、原則として退塾希望月の前月20日までに、通塾中の教室へ退塾届の提出をお願いしております。"",""attachment"":null},{""type"":""sub"",""text"":""具体的な手続き方法や必要書類については、現在通塾されている教室の担当者にご相談ください。教室の連絡先や場所が分からない場合は、お通いの教室名をお教えいただければ、詳しい情報をご案内させていただきます。"",""attachment"":null},{""type"":""cta"",""text"":""退塾に関するご不明な点やご相談は、各教室のスタッフが丁寧にご対応させていただきますので、お気軽にお申し付けください。"",""attachment"":null}]"
8,User_S,Hyunse0001,general,塾を辞めたいのですが、いつまでに申請すればよいですか？,200,3.14の退塾に関する重要な手続きについてご案内いたします。,🗓️ 退塾を希望される場合は、退塾希望月の前月15日までに、通塾中の教室へお申し出ください。例えば3月末での退塾を希望される場合は、2月15日までにお手続きが必要となります。,具体的な手続き方法や必要書類については、通塾中の教室のスタッフにお気軽にご相談ください。また、退塾の理由についてもお話を伺わせていただければ、解決策をご提案できる場合もございます。,5551,성공,,2025-07-27T13:50:00.811Z,"[{""type"":""main"",""text"":""3.14の退塾に関する重要な手続きについてご案内いたします。"",""attachment"":null},{""type"":""sub"",""text"":""🗓️ 退塾を希望される場合は、退塾希望月の前月15日までに、通塾中の教室へお申し出ください。例えば3月末での退塾を希望される場合は、2月15日までにお手続きが必要となります。"",""attachment"":null},{""type"":""cta"",""text"":""具体的な手続き方法や必要書類については、通塾中の教室のスタッフにお気軽にご相談ください。また、退塾の理由についてもお話を伺わせていただければ、解決策をご提案できる場合もございます。"",""attachment"":null}]"
9,User_S,Hyunse0001,general,塾を辞めたい場合、電話で申請してもいいですか？,200,3.14の退塾に関する手続きについて、ご案内させていただきます。,退塾の手続きは、お電話だけでは受け付けておりません。退塾をご希望の場合は、通塾されている教室に直接お越しいただき、所定の退塾届をご提出いただく必要がございます。退塾届は前月20日までにご提出ください。,ご不明な点がございましたら、通塾中の教室のスタッフまでお気軽にご相談ください。また、退塾をお考えの理由などございましたら、一度担当講師やスタッフとご相談いただければと思います。,4884,성공,,2025-07-27T13:50:06.699Z,"[{""type"":""main"",""text"":""3.14の退塾に関する手続きについて、ご案内させていただきます。"",""attachment"":null},{""type"":""sub"",""text"":""退塾の手続きは、お電話だけでは受け付けておりません。退塾をご希望の場合は、通塾されている教室に直接お越しいただき、所定の退塾届をご提出いただく必要がございます。退塾届は前月20日までにご提出ください。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、通塾中の教室のスタッフまでお気軽にご相談ください。また、退塾をお考えの理由などございましたら、一度担当講師やスタッフとご相談いただければと思います。"",""attachment"":null}]"
