테스트번호,유저역할,유저아이디,테스트카테고리,메세지,응답결과_스테이터스코드,main버블,sub버블,cta버블,응답시간(ms),성공여부,검증오류,실행시간,응답결과_바디
INFANT-001,User_S,faq_test_user,入塾・体験,何歳から通えますか？,200,3.14コミュニティでは、年少（満3歳）頃から通っていただけます。,遊びの中で思考力・集中力・ことばの力を育てる「脳力開発コース」をご用意しています🏃‍♀️,まずは見学や体験でお子さまのご様子をご確認いただけます😊,329,성공,,2025-07-27T20:26:19.034Z,"[{""type"":""main"",""text"":""3.14コミュニティでは、年少（満3歳）頃から通っていただけます。"",""attachment"":null},{""type"":""sub"",""text"":""遊びの中で思考力・集中力・ことばの力を育てる「脳力開発コース」をご用意しています🏃‍♀️"",""attachment"":null},{""type"":""cta"",""text"":""まずは見学や体験でお子さまのご様子をご確認いただけます😊"",""attachment"":null}]"
INFANT-002,User_S,faq_test_user,授業・カリキュラム,授業はどんな内容ですか？,200,3.14コミュニティの幼児コースでは、3つの学びのプログラムをご用意しています。,🧠 パズル道場：図形・数理パズルで“考える力”と粘り強さを育成🔤 Lepton（レプトン）：英語4技能をバランスよく育てる個別学習🤖 クレファス：ロボット製作やプログラミングで創造力と思考力を伸ばす,実際の活動は体験レッスンや見学でご覧いただけます！,437,성공,,2025-07-27T20:26:19.143Z,"[{""type"":""main"",""text"":""3.14コミュニティの幼児コースでは、3つの学びのプログラムをご用意しています。"",""attachment"":null},{""type"":""sub"",""text"":""🧠 パズル道場：図形・数理パズルで“考える力”と粘り強さを育成\n\n🔤 Lepton（レプトン）：英語4技能をバランスよく育てる個別学習\n\n🤖 クレファス：ロボット製作やプログラミングで創造力と思考力を伸ばす"",""attachment"":null},{""type"":""cta"",""text"":""実際の活動は体験レッスンや見学でご覧いただけます！"",""attachment"":null}]"
INFANT-003,User_S,faq_test_user,保護者・連絡,保護者の同伴は必要ですか？,200,通塾時の同伴は任意です。はじめは保護者の方が付き添っていただいても構いません。,お子さまが慣れてきたタイミングで、お預けいただくスタイルも選べます❣️,見学や体験の際に、お子さまの様子を見ながらご相談いただけます😊,442,성공,,2025-07-27T20:26:19.147Z,"[{""type"":""main"",""text"":""通塾時の同伴は任意です。はじめは保護者の方が付き添っていただいても構いません。"",""attachment"":null},{""type"":""sub"",""text"":""お子さまが慣れてきたタイミングで、お預けいただくスタイルも選べます❣️"",""attachment"":null},{""type"":""cta"",""text"":""見学や体験の際に、お子さまの様子を見ながらご相談いただけます😊"",""attachment"":null}]"
INFANT-004,User_S,faq_test_user,講師・指導,人見知りでも大丈夫ですか？,200,ご安心ください。初めての場が不安なお子さまには、少人数・個別対応でゆっくり慣れていただきます。,先生が一人ひとりの表情や反応を見ながら、やさしく関わります✨,ご心配な点は体験時にぜひご相談ください。保護者同伴での見学も可能です！👪,439,성공,,2025-07-27T20:26:19.144Z,"[{""type"":""main"",""text"":""ご安心ください。初めての場が不安なお子さまには、少人数・個別対応でゆっくり慣れていただきます。"",""attachment"":null},{""type"":""sub"",""text"":""先生が一人ひとりの表情や反応を見ながら、やさしく関わります✨"",""attachment"":null},{""type"":""cta"",""text"":""ご心配な点は体験時にぜひご相談ください。保護者同伴での見学も可能です！👪"",""attachment"":null}]"
INFANT-005,User_S,faq_test_user,授業・カリキュラム,遊びと学びのバランスはどうなっていますか？,200,無理な詰め込みはせず、遊びの中に“学びの芽”を散りばめたプログラムです。,「できた！」「たのしい！」を大切にしながら、自信と集中力を育てていきます✈️,お子さまのペースに合わせた指導についても、体験時にご相談いただけます😊,345,성공,,2025-07-27T20:26:19.050Z,"[{""type"":""main"",""text"":""無理な詰め込みはせず、遊びの中に“学びの芽”を散りばめたプログラムです。"",""attachment"":null},{""type"":""sub"",""text"":""「できた！」「たのしい！」を大切にしながら、自信と集中力を育てていきます✈️"",""attachment"":null},{""type"":""cta"",""text"":""お子さまのペースに合わせた指導についても、体験時にご相談いただけます😊"",""attachment"":null}]"
INFANT-006,User_S,faq_test_user,授業・カリキュラム,通う頻度はどのくらいが理想ですか？,200,基本的には週1回から通塾できますが、集中力や目的に応じて週2回のコースもご用意しています。,「はじめての学び」に慣れるところから、少しずつペースを作っていきます✨,まずは週1回から試せる体験レッスンにご参加ください😊,103,성공,,2025-07-27T20:26:20.251Z,"[{""type"":""main"",""text"":""基本的には週1回から通塾できますが、集中力や目的に応じて週2回のコースもご用意しています。"",""attachment"":null},{""type"":""sub"",""text"":""「はじめての学び」に慣れるところから、少しずつペースを作っていきます✨"",""attachment"":null},{""type"":""cta"",""text"":""まずは週1回から試せる体験レッスンにご参加ください😊"",""attachment"":null}]"
INFANT-007,User_S,faq_test_user,授業・カリキュラム,午後と午前のクラスがありますか？,200,教室によって異なりますが、午前中・午後の両方の時間帯で開講している日もございます。,お子さまの生活リズムや園のスケジュールに合わせてご相談可能です✨,詳しい開講曜日・時間帯は、教室または体験時にご確認いただけます📅,92,성공,,2025-07-27T20:26:20.242Z,"[{""type"":""main"",""text"":""教室によって異なりますが、午前中・午後の両方の時間帯で開講している日もございます。"",""attachment"":null},{""type"":""sub"",""text"":""お子さまの生活リズムや園のスケジュールに合わせてご相談可能です✨"",""attachment"":null},{""type"":""cta"",""text"":""詳しい開講曜日・時間帯は、教室または体験時にご確認いただけます📅"",""attachment"":null}]"
INFANT-008,User_S,faq_test_user,講師・指導,授業中に泣いてしまった場合の対応は？,502,,,,10280,성공,Response body should be an array of bubbles,2025-07-27T20:27:50.984Z,"{""message"":""Internal server error""}"
INFANT-009,User_S,faq_test_user,講師・指導,他の子と上手く遊べるか不安です,200,3.14コミュニティでは、学習だけでなく生徒同士のコミュニケーションも大切にしています。教室では、生徒同士が自然に交流できる環境づくりを心がけており、講師陣も生徒一人一人の性格や特徴を理解しながら、適切なサポートを行っています。,,詳しい情報や実際の教室の雰囲気を知っていただくために、一度無料体験授業にお越しいただくことをおすすめいたします。フリーダイヤル（0120-876-314）にてご予約を承っておりますので、お気軽にお問い合わせください。,6693,성공,,2025-07-27T20:26:26.844Z,"[{""type"":""main"",""text"":""3.14コミュニティでは、学習だけでなく生徒同士のコミュニケーションも大切にしています。教室では、生徒同士が自然に交流できる環境づくりを心がけており、講師陣も生徒一人一人の性格や特徴を理解しながら、適切なサポートを行っています。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい情報や実際の教室の雰囲気を知っていただくために、一度無料体験授業にお越しいただくことをおすすめいたします。フリーダイヤル（0120-876-314）にてご予約を承っておりますので、お気軽にお問い合わせください。"",""attachment"":null}]"
INFANT-010,User_S,faq_test_user,進路・受験,小学校受験に対応していますか？,200,はい、小学校受験をお考えのご家庭向けに、対応したカリキュラムのご相談も可能です👩‍🎓,思考力・言語・集団活動など、目的に合わせた支援をご提案します！,詳しくは教室までお気軽にお問い合わせください☺️,87,성공,,2025-07-27T20:26:20.237Z,"[{""type"":""main"",""text"":""はい、小学校受験をお考えのご家庭向けに、対応したカリキュラムのご相談も可能です👩‍🎓"",""attachment"":null},{""type"":""sub"",""text"":""思考力・言語・集団活動など、目的に合わせた支援をご提案します！"",""attachment"":null},{""type"":""cta"",""text"":""詳しくは教室までお気軽にお問い合わせください☺️"",""attachment"":null}]"
